Timestep,Consumption,Power
755,5.264001205,21.05600482
756,5.223218471,20.89287389
757,2.235042767,8.940171068
758,2.240954915,8.96381966
759,2.252779211,9.011116843
760,2.258691358,9.034765434
761,2.270515654,9.082062617
762,2.276427802,9.105711208
763,2.288252098,9.153008391
764,2.294164246,9.176656982
765,2.305988541,9.223954165
766,2.311900689,9.247602757
767,2.323724985,9.29489994
768,2.329637133,9.318548531
769,2.338505355,9.354021418
770,2.338656447,9.354625787
771,2.338807539,9.355230156
772,2.338883085,9.35553234
773,2.338958631,9.355834525
774,2.324400439,9.297601755
775,2.317121342,9.268485369
776,2.30256315,9.210252599
777,2.295284054,9.181136214
778,2.276614536,9.106458144
779,2.257945018,9.031780073
780,2.24861026,8.994441038
781,2.239275501,8.957102003
782,2.229702778,8.918811113
783,2.220130056,8.880520223
784,2.215343695,8.861374778
785,2.210557333,8.842229333
786,2.221155249,8.884620994
787,2.226454206,8.905816825
788,2.237052121,8.948208486
789,2.242351079,8.969404316
790,2.323576475,9.294305902
791,2.364160118,9.456640472
792,2.445327403,9.781309611
793,5.485911045,21.94364418
794,5.647669093,22.59067637
795,5.728548117,22.91419247
796,5.890306166,23.56122466
797,5.97118519,23.88474076
798,5.601816179,22.40726472
799,5.674175066,22.69670026
800,5.81889284,23.27557136
801,5.891251726,23.5650069
802,5.998392393,23.99356957
803,6.105533059,24.42213224
804,6.159103392,24.63641357
805,6.255620473,25.02248189
806,6.249499974,24.9979999
807,6.237258977,24.94903591
808,6.231138479,24.92455392
809,6.19106872,24.76427488
810,6.118579825,24.4743193
811,6.082335377,24.32934151
812,6.009846482,24.03938593
813,5.991995998,23.96798399
814,5.95629503,23.82518012
815,5.938444546,23.75377818
816,5.902743578,23.61097431
817,5.875164528,23.50065811
818,5.820006429,23.28002571
819,5.792427379,23.16970952
820,5.747611423,22.99044569
821,5.328898078,21.31559231
822,5.255377656,21.02151062
823,5.108336813,20.43334725
824,5.062386549,20.2495462
825,4.989095426,19.9563817
826,4.915804302,19.66321721
827,4.87915874,19.51663496
828,4.842513179,19.37005271
829,4.841707458,19.36682983
830,4.840901737,19.36360695
831,4.840498877,19.36199551
832,4.840096017,19.36038407
833,4.878285761,19.51314304
834,4.897380633,19.58952253
835,5.449657161,21.79862864
836,5.468752033,21.87500813
837,5.515332421,22.06132968
838,5.538622615,22.15449046
839,5.585203003,22.34081201
840,5.608493198,22.43397279
841,5.623730602,22.49492241
842,5.631349304,22.52539722
843,5.646586709,22.58634684
844,5.654205411,22.61682164
845,5.592069824,22.3682793
846,5.561031087,22.24412435
847,5.498953611,21.99581444
848,5.467914874,21.87165949
849,5.386349406,21.54539762
850,5.345566672,21.38226669
851,5.264001205,21.05600482
852,5.223218471,20.89287389
853,2.235042767,8.940171068
854,2.240954915,8.96381966
855,2.252779211,9.011116843
856,2.258691358,9.034765434
857,2.270515654,9.082062617
858,2.276427802,9.105711208
859,2.288252098,9.153008391
860,2.294164246,9.176656982
861,2.305988541,9.223954165
862,2.311900689,9.247602757
863,2.323724985,9.29489994
864,2.329637133,9.318548531
865,2.338505355,9.354021418
866,2.338656447,9.354625787
867,2.338807539,9.355230156
868,2.338883085,9.35553234
869,2.338958631,9.355834525
870,2.324400439,9.297601755
871,2.317121342,9.268485369
872,2.30256315,9.210252599
873,2.295284054,9.181136214
874,2.276614536,9.106458144
875,2.257945018,9.031780073
876,2.24861026,8.994441038
877,2.239275501,8.957102003
878,2.229702778,8.918811113
879,2.220130056,8.880520223
880,2.215343695,8.861374778
881,2.210557333,8.842229333
882,2.221155249,8.884620994
883,2.226454206,8.905816825
884,2.237052121,8.948208486
885,2.242351079,8.969404316
886,2.323576475,9.294305902
887,2.364160118,9.456640472
888,2.445327403,9.781309611
889,5.485911045,21.94364418
890,5.647669093,22.59067637
891,5.728548117,22.91419247
892,5.890306166,23.56122466
893,5.97118519,23.88474076
894,5.601816179,22.40726472
895,5.674175066,22.69670026
896,5.81889284,23.27557136
897,5.891251726,23.5650069
898,5.998392393,23.99356957
899,6.105533059,24.42213224
900,6.159103392,24.63641357
901,6.255620473,25.02248189
902,6.249499974,24.9979999
903,6.237258977,24.94903591
904,6.231138479,24.92455392
905,6.19106872,24.76427488
906,6.118579825,24.4743193
907,6.082335377,24.32934151
908,6.009846482,24.03938593
909,5.991995998,23.96798399
910,5.95629503,23.82518012
911,5.938444546,23.75377818
912,5.902743578,23.61097431
913,5.875164528,23.50065811
914,5.820006429,23.28002571
915,5.792427379,23.16970952
916,5.747611423,22.99044569
917,5.328898078,21.31559231
918,5.255377656,21.02151062
919,5.108336813,20.43334725
920,5.062386549,20.2495462
921,4.989095426,19.9563817
922,4.915804302,19.66321721
923,4.87915874,19.51663496
924,4.842513179,19.37005271
925,4.841707458,19.36682983
926,4.840901737,19.36360695
927,4.840498877,19.36199551
928,4.840096017,19.36038407
929,4.878285761,19.51314304
930,4.897380633,19.58952253
931,5.449657161,21.79862864
932,5.468752033,21.87500813
933,5.515332421,22.06132968
934,5.538622615,22.15449046
935,5.585203003,22.34081201
936,5.608493198,22.43397279
937,5.623730602,22.49492241
938,5.631349304,22.52539722
939,5.646586709,22.58634684
940,5.654205411,22.61682164
941,5.592069824,22.3682793
942,5.561031087,22.24412435
943,5.498953611,21.99581444
944,5.467914874,21.87165949
945,5.386349406,21.54539762
946,5.345566672,21.38226669
947,5.264001205,21.05600482
948,5.223218471,20.89287389
949,2.235042767,8.940171068
950,2.240954915,8.96381966
951,2.252779211,9.011116843
952,2.258691358,9.034765434
953,2.270515654,9.082062617
954,2.276427802,9.105711208
955,2.288252098,9.153008391
956,2.294164246,9.176656982
957,2.305988541,9.223954165
958,2.311900689,9.247602757
959,2.323724985,9.29489994
960,2.329637133,9.318548531
961,2.338505355,9.354021418
962,2.338656447,9.354625787
963,2.338807539,9.355230156
964,2.338883085,9.35553234
965,2.338958631,9.355834525
966,2.324400439,9.297601755
967,2.317121342,9.268485369
968,2.30256315,9.210252599
969,2.295284054,9.181136214
970,2.276614536,9.106458144
971,2.257945018,9.031780073
972,2.24861026,8.994441038
973,2.239275501,8.957102003
974,2.229702778,8.918811113
975,2.220130056,8.880520223
976,2.215343695,8.861374778
977,2.210557333,8.842229333
978,2.221155249,8.884620994
979,2.226454206,8.905816825
980,2.237052121,8.948208486
981,2.242351079,8.969404316
982,2.323576475,9.294305902
983,2.364160118,9.456640472
984,2.445327403,9.781309611
985,5.485911045,21.94364418
986,5.647669093,22.59067637
987,5.728548117,22.91419247
988,5.890306166,23.56122466
989,5.97118519,23.88474076
990,5.601816179,22.40726472
991,5.674175066,22.69670026
992,5.81889284,23.27557136
993,5.891251726,23.5650069
994,5.998392393,23.99356957
